source,target
"72 645,00","64 124,00"
"72 645,00","64 124,00"
"72 645,00","64 124,00"
"72 645,00","58 581,00"
"72 645,00","58 581,00"
"72 645,00","58 581,00"
"69 378,00","30 157,00"
"60 840,00","69 378,00"
"60 840,00","30 157,00"
"60 597,00","58 908,00"
"60 012,00","58 581,00"
"60 012,00","58 581,00"
"60 012,00","58 581,00"
"60 012,00","41 278,00"
"60 012,00","69 378,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","60 840,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","51 539,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"60 012,00","41 278,00"
"59 721,00","72 645,00"
"59 721,00","72 645,00"
"59 721,00","65 371,00"
"59 721,00","64 124,00"
"59 721,00","64 124,00"
"59 721,00","64 124,00"
"59 721,00","64 124,00"
"59 721,00","58 581,00"
"59 721,00","58 581,00"
"59 721,00","1 313,00"
"58 581,00","64 124,00"
"58 581,00","60 662,00"
"58 581,00","64 124,00"
"58 581,00","60 662,00"
"54 556,00","69 378,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","35 786,00"
"54 556,00","35 786,00"
"54 556,00","35 786,00"
"54 556,00","35 786,00"
"54 556,00","31 182,00"
"54 556,00","15 411,00"
"54 556,00","14 897,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","51 539,00"
"54 556,00","41 278,00"
"54 556,00","35 786,00"
"54 556,00","14 897,00"
"54 556,00","14 897,00"
"54 556,00","14 897,00"
"53 363,00","51 539,00"
"53 363,00","51 539,00"
"53 363,00","51 539,00"
"53 363,00","51 539,00"
"53 363,00","51 539,00"
"53 363,00","41 278,00"
"53 363,00","41 278,00"
"53 363,00","41 278,00"
"53 363,00","41 278,00"
"53 363,00","41 278,00"
"53 363,00","32 467,00"
"53 363,00","32 467,00"
"53 363,00","32 467,00"
"53 363,00","32 467,00"
"53 363,00","32 467,00"
"53 363,00","14 438,00"
"53 363,00","14 438,00"
"53 363,00","14 438,00"
"53 363,00","14 438,00"
"53 363,00","14 438,00"
"51 539,00","69 378,00"
"51 539,00","69 378,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","35 786,00"
"51 539,00","14 897,00"
"51 539,00","69 378,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","60 840,00"
"51 539,00","30 157,00"
"45 588,00","32 290,00"
"45 588,00","15 411,00"
"45 588,00","15 411,00"
"45 588,00","15 411,00"
"45 588,00","14 542,00"
"45 422,00","1 313,00"
"45 422,00","1 313,00"
"45 422,00","72 645,00"
"45 422,00","72 645,00"
"45 422,00","41 278,00"
"45 422,00","396,00"
"45 422,00","26 587,00"
"44 472,00","38 885,00"
"44 472,00","32 400,00"
"44 472,00","16 632,00"
"44 472,00","16 632,00"
"44 472,00","42 563,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","32 400,00"
"44 472,00","16 632,00"
"44 472,00","11 426,00"
"42 563,00","38 885,00"
"42 563,00","32 400,00"
"42 563,00","32 400,00"
"42 563,00","16 065,00"
"41 278,00","69 378,00"
"41 278,00","69 378,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","58 581,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","68 312,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","60 840,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"41 278,00","51 539,00"
"396,00","60 012,00"
"396,00","60 012,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","15 411,00"
"396,00","15 411,00"
"396,00","15 411,00"
"396,00","69 378,00"
"396,00","60 012,00"
"396,00","60 012,00"
"396,00","60 012,00"
"396,00","60 012,00"
"396,00","58 581,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","51 539,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","41 278,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"396,00","31 481,00"
"38 885,00","16 632,00"
"38 885,00","11 426,00"
"35 360,00","60 012,00"
"35 360,00","60 012,00"
"35 360,00","51 539,00"
"35 360,00","51 539,00"
"35 360,00","51 539,00"
"35 360,00","51 539,00"
"35 360,00","51 539,00"
"35 360,00","45 422,00"
"35 360,00","45 422,00"
"35 360,00","45 422,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","41 278,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","396,00"
"35 360,00","34 472,00"
"35 360,00","34 472,00"
"35 360,00","32 290,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","31 481,00"
"35 360,00","26 587,00"
"35 360,00","26 587,00"
"35 360,00","26 587,00"
"35 360,00","26 587,00"
"35 360,00","26 587,00"
"35 360,00","26 587,00"
"35 360,00","15 411,00"
"35 360,00","15 411,00"
"35 360,00","15 411,00"
"35 360,00","1 313,00"
"35 360,00","1 313,00"
"35 360,00","1 313,00"
"35 360,00","1 313,00"
"35 360,00","1 313,00"
"34 472,00","26 587,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","44 472,00"
"34 472,00","42 563,00"
"34 472,00","38 885,00"
"34 472,00","38 885,00"
"34 472,00","38 885,00"
"34 472,00","38 885,00"
"34 472,00","38 885,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","32 400,00"
"34 472,00","16 632,00"
"34 472,00","16 632,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","16 065,00"
"34 472,00","14 542,00"
"32 467,00","60 840,00"
"32 467,00","60 840,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","51 539,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","41 278,00"
"32 467,00","14 438,00"
"32 467,00","14 438,00"
"32 467,00","14 438,00"
"32 467,00","14 438,00"
"32 467,00","14 438,00"
"32 467,00","60 597,00"
"32 467,00","60 597,00"
"32 467,00","58 908,00"
"32 467,00","58 908,00"
"32 467,00","58 908,00"
"32 467,00","58 908,00"
"32 467,00","20 237,00"
"32 467,00","20 237,00"
"32 467,00","20 237,00"
"32 467,00","20 237,00"
"32 467,00","20 237,00"
"32 400,00","38 885,00"
"32 400,00","38 885,00"
"32 400,00","16 632,00"
"32 400,00","16 632,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","64 555,00"
"32 400,00","64 555,00"
"32 400,00","38 885,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 400,00","16 065,00"
"32 290,00","46 901,00"
"32 290,00","46 901,00"
"32 290,00","46 901,00"
"32 290,00","46 901,00"
"32 290,00","46 901,00"
"31 481,00","60 012,00"
"31 481,00","58 581,00"
"31 481,00","51 539,00"
"31 481,00","41 278,00"
"31 481,00","41 278,00"
"31 481,00","41 278,00"
"31 481,00","41 278,00"
"31 481,00","15 411,00"
"31 481,00","15 411,00"
"31 481,00","51 539,00"
"31 481,00","51 539,00"
"29 478,00","69 378,00"
"29 478,00","54 556,00"
"29 478,00","54 556,00"
"29 478,00","54 556,00"
"29 478,00","54 556,00"
"29 478,00","54 556,00"
"29 478,00","54 556,00"
"29 478,00","51 539,00"
"29 478,00","51 539,00"
"29 478,00","45 422,00"
"29 478,00","45 422,00"
"29 478,00","31 182,00"
"29 478,00","2 469,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","31 481,00"
"26 587,00","31 481,00"
"26 587,00","31 481,00"
"26 587,00","31 481,00"
"26 587,00","15 411,00"
"26 587,00","60 840,00"
"26 587,00","60 840,00"
"26 587,00","60 840,00"
"26 587,00","60 840,00"
"26 587,00","53 363,00"
"26 587,00","53 363,00"
"26 587,00","53 363,00"
"26 587,00","53 363,00"
"26 587,00","53 363,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","51 539,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","41 278,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","396,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","32 467,00"
"26 587,00","14 438,00"
"26 587,00","14 438,00"
"26 587,00","14 438,00"
"26 587,00","14 438,00"
"26 587,00","14 438,00"
"26 587,00","1 313,00"
"22 476,00","41 278,00"
"22 476,00","41 278,00"
"22 476,00","35 786,00"
"22 476,00","35 360,00"
"22 476,00","31 481,00"
"20 237,00","60 597,00"
"20 237,00","58 908,00"
"20 237,00","58 908,00"
"20 237,00","58 908,00"
"20 237,00","58 908,00"
"16 065,00","38 885,00"
"16 065,00","38 885,00"
"15 411,00","35 786,00"
"15 411,00","14 897,00"
"14 897,00","35 786,00"
"14 897,00","35 786,00"
"14 897,00","35 786,00"
"14 542,00","15 411,00"
"14 542,00","38 885,00"
"14 542,00","38 885,00"
"14 542,00","32 467,00"
"14 542,00","32 290,00"
"14 542,00","11 426,00"
"14 438,00","51 539,00"
"14 438,00","51 539,00"
"14 438,00","51 539,00"
"14 438,00","51 539,00"
"14 438,00","51 539,00"
"14 438,00","41 278,00"
"14 438,00","41 278,00"
"14 438,00","41 278,00"
"14 438,00","41 278,00"
"14 438,00","41 278,00"
"14 438,00","67 824,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"14 438,00","32 290,00"
"1 313,00","58 581,00"
"1 313,00","53 363,00"
"1 313,00","51 539,00"
"1 313,00","51 539,00"
"1 313,00","41 278,00"
"1 313,00","32 467,00"
"1 313,00","14 438,00"
"1 313,00","60 840,00"
"1 313,00","60 662,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","60 012,00"
"1 313,00","58 581,00"
"1 313,00","58 581,00"
"1 313,00","58 581,00"
"1 313,00","58 581,00"
"1 313,00","58 581,00"
"1 313,00","54 556,00"
"1 313,00","54 556,00"
"1 313,00","54 556,00"
"1 313,00","54 556,00"
"1 313,00","41 278,00"
"1 313,00","35 786,00"
"1 313,00","35 786,00"
"1 313,00","35 786,00"
"1 313,00","35 786,00"
"1 313,00","31 182,00"
"1 313,00","31 182,00"
"1 313,00","15 411,00"
"1 313,00","14 897,00"